RECORDING_SESSION_LABEL,item,group,N1,N2,condition,SFD
o101zyh,T18,2O,2P,1I,2O-2P-1I,292
o101zyh,T20,2O,2P,1I,2O-2P-1I,646
o101zyh,T56,2O,2P,2P,2O-2P-2P,463
o101zyh,T49,2O,2P,2P,2O-2P-2P,540
o101zyh,T35,2O,1I,2P,2O-1I-2P,217
o101zyh,T38,2O,1I,2P,2O-1I-2P,574
o101zyh,T30,2O,2P,1I,2O-2P-1I,228
o101zyh,T45,2O,1I,2P,2O-1I-2P,417
o101zyh,T24,2O,2P,1I,2O-2P-1I,195
o101zyh,T47,2O,2P,2P,2O-2P-2P,296
o101zyh,T52,2O,2P,2P,2O-2P-2P,297
o101zyh,T55,2O,2P,2P,2O-2P-2P,216
o101zyh,T26,2O,2P,1I,2O-2P-1I,351
o101zyh,T60,2O,2P,2P,2O-2P-2P,298
o101zyh,T37,2O,1I,2P,2O-1I-2P,301
o101zyh,T50,2O,2P,2P,2O-2P-2P,349
o101zyh,T03,2O,1I,1I,2O-1I-1I,348
o101zyh,T32,2O,1I,2P,2O-1I-2P,137
o101zyh,T48,2O,2P,2P,2O-2P-2P,268
o101zyh,T21,2O,2P,1I,2O-2P-1I,503
o101zyh,T28,2O,2P,1I,2O-2P-1I,695
o101zyh,T07,2O,1I,1I,2O-1I-1I,349
o101zyh,T34,2O,1I,2P,2O-1I-2P,258
o101zyh,T25,2O,2P,1I,2O-2P-1I,365
o101zyh,T19,2O,2P,1I,2O-2P-1I,326
o103yyy,T07,2O,1I,1I,2O-1I-1I,158
o103yyy,T17,2O,2P,1I,2O-2P-1I,357
o103yyy,T31,2O,1I,2P,2O-1I-2P,153
o103yyy,T51,2O,2P,2P,2O-2P-2P,230
o103yyy,T05,2O,1I,1I,2O-1I-1I,217
o103yyy,T11,2O,1I,1I,2O-1I-1I,373
o103yyy,T01,2O,1I,1I,2O-1I-1I,289
o103yyy,T33,2O,1I,2P,2O-1I-2P,157
o103yyy,T21,2O,2P,1I,2O-2P-1I,165
o103yyy,T52,2O,2P,2P,2O-2P-2P,300
o103yyy,T23,2O,2P,1I,2O-2P-1I,293
o103yyy,T49,2O,2P,2P,2O-2P-2P,389
o103yyy,T60,2O,2P,2P,2O-2P-2P,364
o103yyy,T25,2O,2P,1I,2O-2P-1I,330
o103yyy,T12,2O,1I,1I,2O-1I-1I,362
o103yyy,T36,2O,1I,2P,2O-1I-2P,329
o103yyy,T08,2O,1I,1I,2O-1I-1I,285
o103yyy,T53,2O,2P,2P,2O-2P-2P,340
o103yyy,T10,2O,1I,1I,2O-1I-1I,276
o103yyy,T34,2O,1I,2P,2O-1I-2P,414
o103yyy,T06,2O,1I,1I,2O-1I-1I,361
o103yyy,T38,2O,1I,2P,2O-1I-2P,270
o103yyy,T59,2O,2P,2P,2O-2P-2P,319
o103yyy,T35,2O,1I,2P,2O-1I-2P,206
o103yyy,T45,2O,1I,2P,2O-1I-2P,314
o103yyy,T19,2O,2P,1I,2O-2P-1I,288
o103yyy,T26,2O,2P,1I,2O-2P-1I,506
o103yyy,T15,2O,1I,1I,2O-1I-1I,326
o103yyy,T29,2O,2P,1I,2O-2P-1I,361
o103yyy,T47,2O,2P,2P,2O-2P-2P,314
o103yyy,T24,2O,2P,1I,2O-2P-1I,352
o103yyy,T58,2O,2P,2P,2O-2P-2P,414
o103yyy,T28,2O,2P,1I,2O-2P-1I,338
o103yyy,T48,2O,2P,2P,2O-2P-2P,205
o103yyy,T44,2O,1I,2P,2O-1I-2P,255
o103yyy,T03,2O,1I,1I,2O-1I-1I,308
o108wxg,T44,2O,1I,2P,2O-1I-2P,200
o108wxg,T49,2O,2P,2P,2O-2P-2P,188
o108wxg,T25,2O,2P,1I,2O-2P-1I,294
o108wxg,T01,2O,1I,1I,2O-1I-1I,212
o108wxg,T50,2O,2P,2P,2O-2P-2P,248
o108wxg,T33,2O,1I,2P,2O-1I-2P,240
o108wxg,T41,2O,1I,2P,2O-1I-2P,445
o108wxg,T60,2O,2P,2P,2O-2P-2P,379
o108wxg,T13,2O,1I,1I,2O-1I-1I,193
o108wxg,T31,2O,1I,2P,2O-1I-2P,234
o108wxg,T24,2O,2P,1I,2O-2P-1I,390
o108wxg,T58,2O,2P,2P,2O-2P-2P,393
o108wxg,T35,2O,1I,2P,2O-1I-2P,264
o108wxg,T36,2O,1I,2P,2O-1I-2P,200
o108wxg,T56,2O,2P,2P,2O-2P-2P,390
o108wxg,T19,2O,2P,1I,2O-2P-1I,477
